11849 11849
0 11409 91
11409 8532 75
8532 9472 34
9472 8295 94
8295 8489 73
8489 11747 75
11747 1202 76
1202 10731 17
10731 9962 56
9962 4180 71
4180 3521 17
3521 2513 32
2513 11424 23
11424 693 146
693 3210 32
3210 8387 33
8387 11758 37
11758 6370 69
6370 8864 27
8864 11538 64
11538 8294 111
8294 6295 94
6295 2885 98
2885 788 111
788 909 64
909 2230 80
2230 8476 123
8476 5327 55
5327 3888 70
3888 6959 23
6959 1321 112
1321 10251 108
10251 10566 26
10566 2930 100
2930 4063 202
4063 2678 27
2678 10280 37
10280 8991 17
8991 6114 187
6114 4277 33
4277 11627 123
11627 4132 33
4132 4096 96
4096 3303 129
3303 4221 64
4221 3510 37
3510 1892 69
1892 10288 164
10288 8838 97
8838 7381 23
7381 9130 106
9130 478 98
478 4638 96
4638 1109 32
1109 2010 32
2010 841 140
841 7675 32
7675 6911 32
6911 6282 64
6282 4716 96
4716 5341 96
5341 6280 69
6280 10224 65
10224 1800 32
1800 2387 32
2387 9942 32
9942 3147 32
3147 762 69
762 3528 65
3528 8072 64
8072 1347 33
1347 1526 69
1526 428 85
428 69 32
69 7116 32
7116 1938 107
1938 7240 107
7240 8493 154
8493 8553 69
8553 8533 32
8533 5584 32
5584 11476 32
11476 10418 32
10418 4547 65
4547 7633 53
7633 3490 121
3490 11405 64
11405 9784 80
9784 7349 80
7349 5086 80
5086 6314 220
6314 3891 98
3891 3613 98
3613 1435 80
1435 11487 64
11487 8648 111
8648 11204 102
11204 8811 165
8811 2362 48
2362 9004 48
9004 3010 32
3010 6908 198
6908 8012 76
8012 3163 73
3163 8740 73
8740 10802 73
10802 10347 111
10347 1897 64
1897 6223 64
6223 8617 160
8617 11262 76
11262 2864 115
2864 3973 32
3973 4173 32
4173 205 32
205 5181 110
5181 11172 64
11172 5566 224
5566 6048 112
6048 6693 96
6693 7605 80
7605 5267 110
5267 11303 84
11303 9618 46
9618 7499 80
7499 2568 110
2568 4843 48
4843 11049 48
11049 9088 80
9088 1121 32
1121 8586 110
8586 8860 112
8860 1487 146
1487 5243 40
5243 6939 92
6939 6043 144
6043 3993 112
3993 7714 80
7714 1419 48
1419 10203 32
10203 6177 32
6177 10279 80
10279 8563 73
8563 10195 62
10195 1376 71
1376 9126 111
9126 11512 32
11512 8060 80
8060 1923 112
1923 7754 111
7754 5671 124
5671 1035 141
1035 3726 53
3726 9623 53
9623 2448 141
2448 1249 112
1249 4612 64
4612 1015 44
1015 4120 54
4120 4691 37
4691 2643 101
2643 11769 37
11769 572 74
572 3656 65
3656 1141 33
1141 7663 89
7663 9100 96
9100 200 32
200 4509 32
4509 3049 33
3049 8052 41
8052 11827 68
11827 10353 101
10353 11582 110
11582 8570 111
8570 10392 98
10392 7925 91
7925 6867 70
6867 6726 73
6726 5250 96
5250 3773 48
3773 6812 32
6812 7923 32
7923 7370 48
7370 257 48
257 1311 96
1311 9954 32
9954 5872 64
5872 2812 64
2812 11162 48
11162 9136 48
9136 11413 59
11413 7388 50
7388 6658 243
6658 9643 69
9643 2838 124
2838 11737 140
11737 10234 34
10234 4767 98
4767 9412 85
9412 11656 55
11656 3207 72
3207 6954 74
6954 6260 28
6260 8328 27
8328 5134 94
5134 5918 69
5918 6392 37
6392 468 41
468 7490 91
7490 1401 92
1401 11571 155
11571 10051 128
10051 10664 112
10664 8382 160
8382 1586 155
1586 11423 83
11423 3171 110
3171 7275 160
7275 164 112
164 8571 157
8571 2030 53
2030 3387 68
3387 5014 68
5014 6702 68
6702 65 110
65 5509 176
5509 8628 110
8628 2830 53
2830 10450 141
10450 7360 160
7360 9540 141
9540 3821 53
3821 8186 110
8186 10181 304
10181 1127 176
1127 6349 112
6349 8953 110
8953 1385 68
1385 2461 53
2461 535 83
535 709 99
709 6247 154
6247 4234 176
4234 7454 112
7454 7228 192
7228 3357 96
3357 4218 144
4218 11040 144
11040 1824 64
1824 5597 160
5597 6284 32
6284 5159 32
5159 9600 64
9600 4243 154
4243 5769 39
5769 11268 39
11268 4624 64
4624 5935 68
5935 855 99
855 1939 39
1939 9538 39
9538 859 39
859 10489 115
10489 297 83
297 10094 68
10094 7845 68
7845 3711 64
3711 6835 39
6835 9381 110
9381 3014 96
3014 1721 144
1721 4413 144
4413 1033 64
1033 11529 160
11529 5848 64
5848 7987 64
7987 8462 116
8462 4108 112
4108 4913 80
4913 4944 64
4944 7214 182
7214 2647 80
2647 2653 64
2653 7562 92
7562 8573 115
8573 3100 50
3100 9196 96
9196 10607 64
10607 9923 32
9923 7977 160
7977 2137 128
2137 8264 64
8264 5551 32
5551 7352 32
7352 8247 32
8247 5023 128
5023 6613 96
6613 9682 32
9682 10538 32
10538 3955 128
3955 1512 32
1512 2494 32
2494 8459 32
8459 3874 32
3874 5704 32
5704 11785 32
11785 1604 96
1604 149 32
149 10620 69
10620 9361 123
9361 8805 90
8805 3458 52
3458 398 69
398 7691 72
7691 4456 28
4456 8542 27
8542 7474 89
7474 1177 166
1177 2192 78
2192 7358 91
7358 7346 64
7346 3865 48
3865 6993 225
6993 3612 91
3612 5479 109
5479 9375 256
9375 3906 96
3906 9570 241
9570 11595 96
11595 6683 80
6683 10722 48
10722 9252 64
9252 9151 112
9151 4806 80
4806 8770 32
8770 8911 64
8911 4729 64
4729 917 80
917 7040 96
7040 4985 48
4985 720 32
720 897 64
897 4829 80
4829 8084 48
8084 7286 32
7286 7958 32
7958 1781 32
1781 9217 48
9217 7408 160
7408 4026 112
4026 4513 124
4513 3511 110
3511 3223 128
3223 2899 80
2899 8729 96
8729 6659 48
6659 11324 32
11324 4228 32
4228 9366 32
9366 1046 48
1046 6594 80
6594 5283 64
5283 1964 32
1964 3967 48
3967 3786 96
3786 1755 80
1755 8260 64
8260 4694 64
4694 6820 32
6820 3384 80
3384 4159 112
4159 421 64
421 1260 48
1260 1386 346
1386 10984 32
10984 4696 32
4696 10406 32
10406 2907 64
2907 9704 128
9704 966 160
966 8341 32
8341 10247 177
10247 11713 140
11713 10047 32
10047 3618 85
3618 5018 64
5018 1277 96
1277 175 32
175 3911 32
3911 11591 32
11591 3969 64
3969 9288 32
9288 8712 32
8712 9064 64
9064 2625 32
2625 6141 32
6141 624 32
624 7019 32
7019 6291 64
6291 6803 32
6803 5131 64
5131 8871 64
8871 6432 32
6432 357 32
357 10340 32
10340 1030 64
1030 4735 32
4735 11556 32
11556 5789 32
5789 7850 32
7850 11060 64
11060 6362 64
6362 1877 64
1877 6567 32
6567 9055 32
9055 8992 32
8992 1925 32
1925 3820 64
3820 10730 32
10730 1687 64
1687 2606 64
2606 605 32
605 4994 32
4994 1055 32
1055 3561 64
3561 7393 32
7393 7079 32
7079 3819 85
3819 1600 128
1600 2761 32
2761 10531 64
10531 11333 32
11333 6762 69
6762 6437 33
6437 6035 33
6035 11477 69
11477 2277 32
2277 9785 128
9785 7438 64
7438 1241 32
1241 602 32
602 11410 32
11410 846 64
846 9536 32
9536 6176 32
6176 1489 32
1489 9614 32
9614 10947 128
10947 7568 33
7568 7643 111
7643 2881 111
2881 10301 71
10301 2202 126
2202 3423 64
3423 8603 32
8603 11834 64
11834 11761 96
11761 3609 128
3609 6843 64
6843 9501 96
9501 7422 32
7422 3352 28
3352 9944 50
9944 7945 183
7945 11696 110
11696 4682 80
4682 9633 137
9633 1963 160
1963 2575 128
2575 10500 80
10500 2409 73
2409 7065 73
7065 531 48
531 2463 32
2463 4594 64
4594 5180 64
5180 7542 110
7542 7561 123
7561 7118 50
7118 10869 33
10869 10486 115
10486 8837 128
8837 7670 60
7670 6075 110
6075 9382 144
9382 6382 182
6382 9247 160
9247 11517 157
11517 1836 112
1836 1263 96
1263 7724 64
7724 11354 110
11354 6890 110
6890 1224 195
1224 1999 110
1999 4761 112
4761 6948 75
6948 10097 53
10097 10735 17
10735 3182 109
3182 7250 32
7250 5228 32
5228 3146 67
3146 6795 50
6795 2415 27
2415 7556 150
7556 8118 87
8118 10960 40
10960 8404 33
8404 11353 81
11353 10473 69
10473 8088 32
8088 1826 85
1826 1743 32
1743 4054 32
4054 2127 37
2127 11379 54
11379 7302 76
7302 1244 64
1244 9804 256
9804 3957 96
3957 4711 154
4711 4714 96
4714 8405 110
8405 6034 96
6034 5204 110
5204 9240 96
9240 4407 110
4407 1856 96
1856 9900 110
9900 3907 32
3907 11588 64
11588 10609 110
10609 4082 96
4082 9901 146
9901 9421 146
9421 6657 176
6657 10611 128
10611 8423 112
8423 9549 157
9549 3866 112
3866 511 32
511 11613 80
11613 3489 80
3489 7167 48
7167 1813 96
1813 9118 80
9118 8007 111
8007 11800 212
11800 9498 110
9498 4858 91
4858 4347 59
4347 5079 154
5079 3188 160
3188 11805 154
11805 491 112
491 2435 111
2435 7161 80
7161 7858 32
7858 8397 111
8397 9995 160
9995 10030 257
10030 6757 110
6757 9790 110
9790 11788 154
11788 2700 144
2700 3845 96
3845 9951 96
9951 10427 64
10427 8145 48
8145 3701 48
3701 1969 80
1969 3823 96
3823 3232 48
3232 5643 27
5643 89 18
89 99 70
99 11532 17
11532 8761 142
8761 8515 110
8515 2489 112
2489 810 110
810 10662 176
10662 11205 110
11205 9547 96
9547 3145 110
3145 8551 160
8551 180 110
180 10456 130
10456 2242 144
2242 560 32
560 10136 32
10136 4116 64
4116 3214 32
3214 517 64
517 3350 32
3350 8720 32
8720 6401 32
6401 10588 96
10588 11039 32
11039 1841 64
1841 5178 32
5178 793 32
793 6502 32
6502 7787 32
7787 2340 64
2340 1906 96
1906 5897 32
5897 183 32
183 6549 32
6549 9359 55
9359 8162 146
8162 7702 75
7702 5668 128
5668 197 126
197 9340 96
9340 8731 32
8731 366 32
366 4378 32
4378 1028 96
1028 8625 32
8625 10652 69
10652 8066 286
8066 9960 48
9960 10643 48
10643 3060 59
3060 3610 91
3610 410 37
410 11302 64
11302 2364 200
2364 600 32
600 8168 32
8168 9015 192
9015 5883 128
5883 5827 64
5827 9306 32
9306 1823 32
1823 9957 32
9957 14 32
14 2911 32
2911 5489 32
5489 1954 64
1954 456 64
456 1820 32
1820 2085 32
2085 7764 64
7764 7076 64
7076 3220 64
3220 9117 32
9117 8898 32
8898 11786 32
11786 2393 69
2393 8929 59
8929 3775 64
3775 7734 64
7734 1883 32
1883 8794 69
8794 10651 33
10651 4422 32
4422 1299 69
1299 1812 292
1812 5624 69
5624 5678 32
5678 3332 32
3332 11642 32
11642 3628 32
3628 10927 32
10927 8221 64
8221 1960 385
1960 4267 128
4267 11193 81
11193 11028 64
11028 11437 64
11437 10451 64
10451 1227 64
1227 10853 64
10853 9941 64
9941 6119 64
6119 8438 110
8438 3093 64
3093 6520 64
6520 6705 128
6705 1101 64
1101 8155 110
8155 8285 64
8285 8756 110
8756 6946 64
6946 482 110
482 2086 32
2086 4393 32
4393 1061 64
1061 3518 64
3518 11764 64
11764 11717 32
11717 7857 32
7857 10901 96
10901 1367 110
1367 1537 64
1537 10925 64
10925 5956 64
5956 11232 64
11232 2106 64
2106 3836 32
3836 2882 32
2882 10109 64
10109 8091 64
8091 3790 91
3790 8993 111
8993 10987 48
10987 8591 43
8591 6486 105
6486 2988 69
2988 547 32
547 11218 67
11218 11819 55
11819 134 50
134 3771 65
3771 5569 64
5569 11036 43
11036 2729 18
2729 2539 71
2539 10832 35
10832 5965 99
5965 8354 64
8354 1988 64
1988 1256 73
1256 5582 50
5582 6747 81
6747 273 32
273 11082 32
11082 8017 32
8017 6033 160
6033 417 192
417 7060 64
7060 8119 64
8119 3107 64
3107 3498 32
3498 11603 64
11603 3080 64
3080 7991 96
7991 8682 85
8682 8259 64
8259 1346 64
1346 8407 64
8407 8224 96
8224 10783 110
10783 9843 112
9843 11282 110
11282 8914 204
8914 6790 173
6790 2519 32
2519 4289 64
4289 2611 96
2611 11289 89
11289 11364 107
11364 2934 44
2934 8557 48
8557 7144 48
7144 1937 32
1937 1762 48
1762 10102 112
10102 11615 160
11615 9428 112
9428 4897 64
4897 483 48
483 1279 48
1279 5586 48
5586 2767 32
2767 8439 64
8439 2853 64
2853 1301 32
1301 6691 32
6691 8583 116
8583 8035 71
8035 217 123
217 237 96
237 5074 64
5074 6000 149
6000 2630 108
2630 8511 111
8511 11115 96
11115 776 146
776 1175 32
1175 816 64
816 1467 64
1467 561 96
561 642 110
642 1184 170
1184 11252 71
11252 1606 111
1606 11389 32
11389 886 64
886 1247 64
1247 7507 32
7507 11580 32
11580 8883 28
8883 7323 50
7323 2707 67
2707 1445 32
1445 11102 96
11102 5967 32
5967 9451 32
9451 9742 32
9742 10826 69
10826 496 127
496 10448 124
10448 6227 48
6227 4445 48
4445 5726 75
5726 11018 160
11018 3910 32
3910 6509 96
6509 8350 32
8350 11628 32
11628 4615 32
4615 4585 191
4585 10817 174
10817 873 32
873 10632 32
10632 7859 32
7859 10082 132
10082 8954 48
8954 9654 48
9654 5527 32
5527 6219 32
6219 2590 160
2590 10365 112
10365 1002 154
1002 3287 110
3287 4260 110
4260 7723 112
7723 5779 80
5779 5802 112
5802 3019 59
3019 9708 84
9708 3755 46
3755 9027 98
9027 9018 18
9018 5961 50
5961 3583 32
3583 4392 64
4392 8612 96
8612 4993 69
4993 10881 114
10881 6400 32
6400 9910 50
9910 6026 27
6026 11808 48
11808 11261 48
11261 2150 32
2150 4813 32
4813 9444 223
9444 11340 96
11340 4875 89
4875 10957 110
10957 7207 96
7207 10407 64
10407 2111 32
2111 9943 96
9943 881 106
881 5532 50
5532 10403 109
10403 2386 96
2386 7538 32
7538 10096 223
10096 3774 96
3774 5914 110
5914 9331 84
9331 6735 46
6735 1690 46
1690 5005 101
5005 11543 84
11543 2977 46
